INDV	O(HOM)	E(HOM)	N_SITES	F
18158nigbel	165136	162034.3	219354	0.05411
18159nigbel	164473	162034.3	219354	0.04255
18162nigbel	163897	162034.3	219354	0.03250
18163unibel	162197	162034.3	219354	0.00284
18165nigbel	163816	162034.3	219354	0.03108
18171nigbel	165270	162034.3	219354	0.05645
18172puebel	162341	162034.3	219354	0.00535
18174puebel	163391	162034.3	219354	0.02367
18175puebel	161907	162034.3	219354	-0.00222
18176puebel	161960	162034.3	219354	-0.00130
18178puebel	162125	162034.3	219354	0.00158
18180puebel	162213	162034.3	219354	0.00312
18185nigbel	164036	162034.3	219354	0.03492
18195indbel	170325	162034.3	219354	0.14464
18222indbel	168917	162034.3	219354	0.12008
18225indbel	170457	162034.3	219354	0.14694
18226indbel	168684	162034.3	219354	0.11601
18227indbel	169616	162034.3	219354	0.13227
18237indbel	169302	162034.3	219354	0.12679
18261unibel	162518	162034.3	219354	0.00844
18267unibel	161293	162034.3	219354	-0.01293
18274unibel	165049	162034.3	219354	0.05259
19881unibel	163491	162034.3	219354	0.02541
20092unibel	163001	162034.3	219354	0.01686
20427gumhon	166849	162034.3	219354	0.08400
20428gumhon	166489	162034.3	219354	0.07772
20604nighon	162900	162034.3	219354	0.01510
20605nighon	162673	162034.3	219354	0.01114
20606nighon	163504	162034.3	219354	0.02564
20607nighon	162830	162034.3	219354	0.01388
20608nighon	162561	162034.3	219354	0.00919
20609nighon	163915	162034.3	219354	0.03281
20615gumhon	168751	162034.3	219354	0.11718
20617gumhon	164822	162034.3	219354	0.04863
20641gumhon	164190	162034.3	219354	0.03761
20642gumhon	167349	162034.3	219354	0.09272
