CHROM	BIN_START	BIN_END	N_VARIANTS	WEIGHTED_FST	MEAN_FST
LG12	1	50000	293	0.017248	0.0205758
LG12	5001	55000	333	0.0258359	0.0252123
LG12	10001	60000	349	0.0289815	0.0293799
LG12	15001	65000	357	0.030476	0.0300708
LG12	20001	70000	360	0.0294031	0.0289892
LG12	25001	75000	354	0.0360761	0.0323023
LG12	30001	80000	366	0.0299872	0.0284703
LG12	35001	85000	350	0.0276968	0.026725
LG12	40001	90000	387	0.0195271	0.0207279
LG12	45001	95000	393	0.0154719	0.0138768
LG12	50001	100000	410	0.00566657	0.00721805
LG12	55001	105000	393	-0.00742094	-0.00085222
LG12	60001	110000	374	-0.0113912	-0.00410743
LG12	65001	115000	351	-0.0143878	-0.00799848
LG12	70001	120000	351	-0.0140267	-0.00745974
LG12	75001	125000	362	-0.0172892	-0.00948232
LG12	80001	130000	359	-0.00822682	-0.00437175
LG12	85001	135000	373	-0.00210468	-0.000719367
LG12	90001	140000	366	0.00547527	0.0062298
LG12	95001	145000	368	0.0124663	0.0134407
LG12	100001	150000	355	0.0229399	0.0226024
LG12	105001	155000	389	0.0325163	0.029574
LG12	110001	160000	383	0.0304264	0.0281884
LG12	115001	165000	407	0.031151	0.0285536
LG12	120001	170000	429	0.0322898	0.028849
LG12	125001	175000	445	0.0362673	0.0326378
LG12	130001	180000	469	0.0317458	0.0315672
LG12	135001	185000	455	0.0331611	0.0322123
LG12	140001	190000	440	0.029832	0.0284409
LG12	145001	195000	436	0.0303209	0.0286912
LG12	150001	200000	443	0.0258957	0.0255116
LG12	155001	205000	408	0.0238158	0.0251823
LG12	160001	210000	414	0.0278958	0.0305393
LG12	165001	215000	472	0.0317037	0.0314387
LG12	170001	220000	547	0.03385	0.0303372
LG12	175001	225000	569	0.0379332	0.0314363
LG12	180001	230000	555	0.0450733	0.0343694
LG12	185001	235000	547	0.0449716	0.0344572
LG12	190001	240000	557	0.0467762	0.0364839
LG12	195001	245000	566	0.0424368	0.0352155
LG12	200001	250000	554	0.046275	0.0370759
LG12	205001	255000	582	0.0447584	0.0358027
LG12	210001	260000	609	0.0415582	0.031988
LG12	215001	265000	570	0.0385177	0.0296797
LG12	220001	270000	503	0.0349042	0.0285069
LG12	225001	275000	511	0.0356873	0.0303077
LG12	230001	280000	550	0.0326573	0.0283664
LG12	235001	285000	589	0.0300336	0.0265302
LG12	240001	290000	597	0.0312705	0.0262518
LG12	245001	295000	582	0.0491095	0.0370426
